,reviews-title,reviews-text,stars,nlp-grade
17,Visit the Empire,"was the last time 10 years ago on the Empire. It has changed a lot, made much more modern and visual. Even when it was foggy, it was a great visit with very nice employees who even became photographers. We recommend.",5.0,4.731
18,Breathtaking views,An attraction I'd missed from a previous visit. The views are absolutely breathtaking. Well worth the experience,4.0,4.6482
19,Lovely helpful lady and great place to visit.,Excellent staff and very friendly as I took a wrong turning and exited to early so the uniformed lady on the street showed be how to get back in to look at the place again.Very interesting and lots of lovely views at all levels and even though it was busy I could still look over the buildings and down also.I did not get a timed ticket just paid for a ticket and waited in a queue for 15 minutes to get in.Lovely shop and they took pictures of you which were a good souvenir of my visit.Lovely clean and tidy restrooms.Very friendly staff especially the lady that helped me rejoin the building.,5.0,4.9244
20,Amazing building. Amazing views,Try to go when its not crowded. i braved a January day. This structure was completed in only 13 months.,5.0,2.3176
21,These tickets do allow priority access to skip queues,"Booked these tickets specifically to skip the queues. THIS DOES NOT WORK. The tickets were scanned at the Empire state building and they were not registered as priority. The guard advised 'the system is not wrong' so we had to queue. There is a queue outside, then a queue for security, and finally a queue for the lift (up and down). These tickets are not worth the money as a basic entry ticket would have given the same experience.",1.0,4.0172
22,Don’t pre book,DONT PREBOOK. THEY DON’T REFUND OR ALLOW YOU TO RESCHEDULE due to bad weather. Other viewing venues do let you rearrange. Terrible customer service and very rude.,1.0,1.3894
23,Not just a viewing deck - the exhibit is outstanding,"The last time we visited the Empire State Building it was an endless array of lines to get to the viewing deck at a very high price. Well, they have put an awful lot of thought and money behind the exhibition which now precedes the viewing deck, and you seriously won't mind the lines. The highlights for me were the multitude of movie clips that feature the majestic building (shown on a 180 screen, the photo op with King Kong model, and the 4 walled cinematic experience of the building of the bridge. All in all - 5 stars. And yes, then the views of New York when you get to the observatory are worth every penny.",5.0,3.6204
24,The highlight of my vacation to NYC,It was a magnificent. The museum on the way to the top is interesting. Your trip to NYC is incomplete without experiencing all this.,5.0,4.6251999999999995
25,Good experience,"Was the first time we visit, an amazing view although the organization was not so specific to tell us about the stops to get the 102 floor. We found the people who works there was no si kind because a lot of tourists maybe",5.0,4.3194
26,Very good experience,"Very nive explanation about the history of the Empire State Building: construction, nice exposirions, very good videos.
Exceptionnal view on top.",5.0,4.5556
27,Don't Pre Book,"Don't bother pre-booking, We prebooked and arrived 45 minutest early. They wouldn't let us enter for 30 minutes but people that where buying tickets there strolled past us!",3.0,3.4093999999999998
28,wow,"Of course this is one of the places you must go to and the view's are incredible. Check weather though as we done this twice as the 1st day was really foggy. Luckily we had got city passes and had 1 left so could go back, Great time in there well worth it.",5.0,4.7856000000000005
29,Iconic experience if a little busy...,"Went with family of varying ages just after Christmas. Everyone enjoyed it overall and of course it's an epic view from the top.

But..

Had visited a few years ago and it was a calm, pleasant experience. I'm not sure if it's just the way it is now or due to the time of year/day (probably both), but it was extremely busy. Security at JKF was nice compared to being barked at on entry here! Literally herded like cattle at a fast pace, barely any chance to take things in without being shouted at. Was hoping to be able to store a stroller, but unfortunately had to fight our way through everyone with it the whole time which was a bit of a chore.

Once in it was better, time to look at all the new exhibits about the history, etc - making the ticket price more worthwhile. Attractions for the kids to look at history, the building, the workings, etc. Photo opportunity with King Kong, well is hand anyway!

Up to the observation deck on the 86th floor and of course the amazing views. Although again it was painfully crowded, almost having to push your way for every step, and trying to keep track of 8 people (including kids) was almost impossible.

Despite the moaning, it's definitely worth visiting and experiencing - set yourself a couple of hours aside to take it all in and be prepared if it's busy.",4.0,4.986
30,Good Tour,"Great tour, well worth a visit. It gets very busy and airport style security so be prepared, but well managed.",4.0,4.6342
31,Iconic building,"We love this building, we have visited before. We had the ticket to view in the day & in the evening which was great. The views are amazing & you can see so much on a clear day. There have been some added features which added that special touch & extra security which is a good thing. Definitely worth a visit, such an iconic building, can't be disappointed.",5.0,4.964
32,So much more than the view,"Absolutely loved our visit to The Empire State and it is so much more than just the view (which is awesome).
The building itself is beautiful, art deco is my absolutely favourite era.
Your visit starts with the very interesting store of how the building was built and we spent quite some time wondering around taking in all the information. Loved the floor which feels like you a looking down the lift shaft.
I won't say to much about the lift but it is an experience in itself, the best lift ride in NY by far.
When you step our of the lift you wait in a room while you are shown a brief video and then they reveal the view and it takes your breath away.
After that you move into the main area where you can then wander at will and go where you want to see the views.
As you step out onto the open deck it reminds you of all the films you have seen this iconic area in, the binoculars, the fencing, view, its just all fab.
There is also a great King Kong photo opportunity. The experience is well thought out so visitors are spread out throughout the area looking at different things.
This was probably one of my favourite experiences on our pre Christmas trip and considering the time of year I didn't find it over crowded. All in in a super experience and one not to be missed.",5.0,4.9826
33,Certainly not an inclusive place for people with disabilities,"Don't attend if you are travelling and have a disability. I found the staff here rather rude and not accommodating to people with disabilities. Telling me to purchase an express pass at an additional cost is not making something inclusive for all and, in fact, is rather discriminating. There are a number of queue stops for ridiculous money-making photos, and you are not allowed to skip these if you do not require them. An image of a background is not a real-time moment and very fake, in my opinion. Oh, look at the time I stood in front of a background image inside of the building...ridiculous. I found the whole experience exhausting and being made to queue for pictures I didn't require just to get to the top was a joke. There are at least 3 photo stops. When i spoke to a member of staff, i got told there was nothing that they could do, and i had to wait to get past their fake picture moment. Go to other attractions that seem far more inclusive and have far better queuing systems.",1.0,1.4206
34,Poor weather avoid if scheduled fog.,"I’d love to give this 5 stars, however I can’t because of my experience. The view was terrible due to the weather. Absolutely no faults with the trip itself or the Empire State Building, literally just the weather spoiled this for us.",3.0,1.8362
35,Dream,"All that I can tell you will certainly not reflect the reality of the splendor of the United States. New york with the center park, the statue of liberty and the ampire state. and if you have a few extra bucks you can chopper around town for 100 bucks (back then) maybe more now. But one thing is for sure, you won't regret the trip. For the 86 floor empire state, we reached the top in less than 3 minutes.",5.0,4.7842
36,Missed Sunset,"Planned a time to visit while the sun was setting which cost more and missed it because they didn’t say you should arrive early to pass through the exhibits. In addition, it was really foggy so even after missing the sunset, we still couldn’t see anything once on the 84th floor!",2.0,1.718
37,disappointing,I had reservations for 5;15 pm expecting that I would enter - unfortunately we were placed in a very long queue along with people who did not have tickets - waited outside for a long time and then continued to be placed in one long queue after another. I use a cane the lines were long and exhausitng - Not sure the view was worth it - coming down the same,3.0,2.2936
38,Great views,"We went up here on Christmas Day to see the great views, it was busy as you would expect but we’ll worth it and in the evening it was great too",5.0,4.7796
39,Awesome views,We were on the fence about whether or not 2 purchase tix 2 go up and I am so glad we did!! This was an amazing experience for all of us!! I’ve seen some reviews saying they waited in a long line. We had the opposite experience. We bought our tix online ahead of time for 3:15 and we’re told to get in line at 3. We did and got right in at 3:15. Once inside everything moved quickly and we made our way thru security and moved at our own pace thru the museum areas. There is a lot 2 see b4 even going up. Once we went up we had amazing views of the city and sunset and thou crowded we were able to view from all sides on the outdoor platform. Also kids 6 and under are free so this is a big $ saver for families w younger kids!!,5.0,4.9206
40,Iain,"Excellent visit, been before and still good this time, best views of the city, been during the day and a night visit and would recommend both",5.0,4.8462
41,"Pretty view, takes at least 2 hours","If you are using the City Sightseeing pass to buy tickets, make sure to get them in advance. The only tickets available when we went to scan our passes were more than 24 hours later. Also, if you purchased the pass at your hotel, make sure to take the print out they gave you with you for your scheduled ticket time. They won’t let you in with just the ticket you get from the kiosk at the Empire State Building. We did not realize their ticket would not scan to get in and almost got turned away. It took a really long time to get to the top but the view was beautiful.",4.0,4.6844
42,Good Visit,"Had a great visit. Staff was friendly and courteous. The main entrance is not marked clearly and after going in two different entrances, we were directed to the right spot. After that, it was a great trip",4.0,4.8504000000000005
43,Interesting and fun,Going through the building there are many different museum-like areas where you can stop and learn interesting facts about the building. The Observatory itself has indoor and outdoor areas to stop and enjoy the views. Can easily spend hours here to take everything in. There was confusion on when you can actually enter the building based on your reservation time. Other than that the experience was worth it.,4.0,4.1148
44,Get the express pass!!,Get the express pass!! And make sure you tell all ushers you have it. The line to get in with regular tickets is wrapped down the block. I followed other reviewers advice and thank goodness. You go right in and right on the elevators. Normal wait once inside for elevators is half an hour. It was very crowded. Hard to get a spot to see on the 86th floor. But - not many went to the 102 and it was amazing to be in the spire. Gorgeous sunset view. But book your time about half hour before you want to be on the top. It’s a bit of a journey to get up there even w express.,5.0,4.904
45,Empire State Building,"It was very unorganized when entering the lobby with no tickets and then when standing in line to purchase tickets at an unmanned kiosk. Unfortunately, we left after hearing we couldn't purchase tickets and just walk in as the timeslot was fully booked. However, after leaving we decided to inquire about purchasing tickets online and the timeframe was readily available. Very strange to say the least. After all said, it wasn't worth the cost to get to the 86th floor. Beautiful views - once in a lifetime opportunity, but the cost didn't seem to align with the attraction and its offerings.",3.0,4.2788
46,Exploitative!,"Given the price of the tickets -- and in the realm of fairness, I'm completely turned off by the mass of people allowed in at each time slot. It's wall to wall people. Huge crowds! And the fact that we exit exclusively via the gift shop says it all. I'm totally repelled and sorry for the experience -- one that I'll never repeat!",1.0,4.2786
47,Excellent experience,"Well organized, great introductory information, fun didactic displays, excellent views, perfect experience on a 1-day trip to New York!",5.0,4.9062
48,Pricing out the average person,"Yes, the view is beautiful and the information/displays on the way up are interesting to learn about but it was hard to get over the sticker shock. The base rate is expensive enough but then they charge extra to go to the highest level and charge extra to go at sunset. Guess that's about as America as you can get.",3.0,3.0774
49,Great views,"Well organised queue system, quite a lot different to my last visit in 1988! We went up Christmas day and it was incredibly cold, there were some heaters around the outdoor viewing area and they were most welcome. Would recommend a visit!",4.0,4.6579999999999995
50,great visit!,booking ahead was critical. all the visit went really great. all the family enjoyed it. the elevator use was awesome and very well organized.,5.0,4.8334
51,Indispensable,"Although the organization is not the best, for me it was essential to visit the Empire State because it is an emblematic and historical place, it was worth it",4.0,2.2912
52,Worth it,"Excellent and worth it. An experience that is unforgettable and beyond above expectations. The view, sunset and the light's amazing.",5.0,4.711
53,Iconic Attraction A Must!,"A visit to the ESB is an essential part of deepening your understanding of America, what it was and what it is today. Take a step back in time beginning from the 1930s. The views are amazing!",5.0,4.2478
54,An Empire State Sunrise,"Despite the bitter cold from the top, Mother Nature and NYC did not disappoint with their beautiful Christmas Eve sunrise. Highly recommend for those seeking a once-in-a-lifetime experience. Five stars.",5.0,4.8622
55,fantastic view of the harbor,"Worth the trip. Subway was safe and the area clean. Elevator was interesting as it was informative going up with the history if the area, 360 view is great.",5.0,4.8462
56,Nice,Nice views and a great view of New York City from every direction. Would recommend going after sunset.,4.0,4.711
57,Night experience,"Went at night, awesome experience seeing the size and scale of New York after dark. Teenagers enjoyed standing where their favourite celebrities have stood before.",4.0,4.6251999999999995
58,ESB,The visit was phenomenal. We toured at night and the view was breathtaking. It was also not as crowded as it may be during the day. Flawless!!!,5.0,4.6014
59,Appalling customer service and organisation,"Absolutely no point in booking a time slot. They are intent on only one thing: packing you in like livestock. The queues ambled up various stairs until finally a very dense crowd (with people pushing in) assembled before the lifts. No members of staff were present to administer orderly conduct — total shambles. I felt it was bordering on dangerous. When I pointed this out to a security guard he just said ‘welcome to New York’. Classy.
If you want to go, go at a quiet time. Don’t expect the staff to be able to engage in anything beyond the most basic communication!",1.0,3.9173999999999998
60,Mom’s Christmas,My mom’s first visit and it was outstanding!! Thank you!! Annette who I’ve seen at the door is one of a kind!!,5.0,4.803
61,Christmas in Ny,Fantastic and learned a lot of its history and how it was built. Enjoyed the time we were given to read everything and rushed out.,5.0,4.569
62,So much fun!!,"Amazing place great history lesson, beautiful views!! would definitely recommend red carpet express is not necessary elevators were fast!",5.0,4.9152000000000005
63,First Trip Back in a While,"We haven't been to the Empire State Building in 7-8 years and we were more than impressed with the improvements since our last visit. The history and background they provide on the ground floor was impressive both with the presentation and the content as well. Our kids - 12 and 10 - also enjoyed it which speaks volumes. Granted, we were lucky to be there on a slow day so the crowds were minimal. The interactiveness of the experience was impressive leading to the 4 of us having an amazing visit. Not that we didn't expect that, but I'd still say it went above and beyond.",5.0,4.825
64,Rainy day,"I should be able to reschedule in case of a rainy day. I went to the top floor just to see nothing.
Total waste of money and time.",1.0,3.8552
65,Quick NYC trip,I had a couple days open before Christmas so a friend and I did a quick trip to NYC. We booked the sunset time slot at the Empire State Building and added the all-inclusive dinner package the Grill at the Empire state Building. It was all fantastic! The views in daylight then the lights at night followed by a delicious meal which was for NY reasonably priced. First time to NY for my friend and this was our first stop from the airport/hotel check in. It was so much fun and a great experience.,5.0,4.9458
66,"Great, only one minor issue","Great experience. Very little waiting after making reservations in advance. Only issue: Have to pay extra to goo by elevator from floor 80 to floor 86. Ok for our adult children and young grandchildren to walk the 6 flights of stairs, but my wife and I (both seniors) chose to decline. Perhaps have elevator to 86 floor available for seniors at no extra charge",4.0,1.7626
67,going up,just wonderful. i found the staff to be friendly and very organised. The lining up didn't take long at all. maybe put some fans on the six flights of stairs going up as a lot of people ran out of breath.,5.0,4.569
68,Empire trip,Great experience but the extra money for the skip the line was a waste. You basically navigated yourself without any help or assistance from a guide or employee. Terrible directions.,3.0,1.3048
69,New York Trip,"Excellent experience overall from stay at Hyatt @ Jersey to Metro/subway commute to all the places we visited including empire State Building, Central park, Time square, Brooklyn Bridge, WTC & Memorial site of 9/11. It was a great trip all together,",5.0,4.6632
70,Straight to the Top,"We took our 9yo niece to New York for her Christmas gift. The Rockettes and The Lion King were both entertaining; but I think the nightime view of the Big Apple from atop the Empire State Building were everyone's favorite. Light twinkling and sights visible (thanks to the complimentary tower optics on the 86th floor). But I would highly recommend paying just a few $'s more, so that you can continue your experience up to the 102nd floor observatory. NOTE: If you are pressed for time, or have young children with you, then paying for the express pass is worth skipping the lines of tourist to the top.",5.0,4.9166
71,I dont like heights,"We went up the wee fella early on Christmas Day morning 2019 and wow it was truly incredible. The views were spectacular, every side offered something from a movie and we loved it.

The crisp Manhattan air meant we could see for miles and it was a Christmas memory to savour.

Highly recommended.",5.0,4.8268
72,Really great!,Great weather so the views were fantastic. Went at 11am so minimal queues. So much busier later in the day (we saw the queues). Highly recommended!,5.0,4.755
73,Terrible,"it took about one hour and half in between elevators lines to get all the way up, and about 45 min to come down. We will not recommend this visit. Not worth the time.",1.0,2.1664
74,Outstanding!,The whole Empire State experience is fabric from start to finish! You feel like you’ve lived through it’s history! It’s a visual feast.,5.0,3.9476
75,A beautiful classic,"Our visit didn’t disappoint, from the entrance to the top, what a beautiful building. The information films and exhibits were fantastic. The staff were friendly. The King Kong photo op was brilliant and the views of the city from the top were everything I’d imagined, we had a beautiful bright sunny day and could see for miles. My husbands favourite experience of our trip.",5.0,4.95
76,1st Trip to NYC,This was my favorite part of my first time going to NYC. I highly recommend this be in your list of things to do when visiting NYC. I am scared of height but there was so much to see from the top that it made me forget that I was afraid of heights. My daughter who is 19 really enjoyed this as well because she got to see all of NYC.,5.0,4.7064
77,Incredible,"I had the express ticket at sunset and it was amazing. The view, the sunset. Seeing everything with the golden light snd then the city lighting up was marvelous. It was pretty cold up there tho. So if you plan on going during winter, dress accordingly",5.0,4.7958
78,Beautiful 🤩,I had visited as a child on a school trip but wanted to go back with my family and really appreciate it and its spectacular views. It was absolutely beautiful 🤩,5.0,4.7904
79,Wow - played to the Engineer in me,Wonderful time. Loved the section on building it. I took a photo of the hotel rate just The Emprie State Building was finished (25 cents a room). We paid $250/night for something less than nice. I loved all but the brutal cold.,5.0,3.118
80,Fun experience with fast pass except for staff,We purchased the express lane to go all the way to the top. “All you have to do is follow the red carpet”. The trip up is confusing for the express lane as NO ONE is there to assist with the express lane. The workers are rude and on a power trip and even tried to bully me into the regular line. The first observation deck is just ok. The new one is amazing and the woman up on the very top was the only nice staff member. Think we will pick a different building next time. 12/17,3.0,3.1886
81,"Our favourite tourist attraction, but too busy",We all rated it our favourite thing we did in NYC but it is so busy that it's hard to get any nice photos or really enjoy the moment. They sell so many tickets that you can hardly move up the top.. They do a good job of keeping you entertained in the queue as you move through different exhibitions and information and there's an option to take 6 flights of stairs instead of waiting for an elevator to the top. It would be 5 stars if I was able to see and enjoy the view.,4.0,4.945
82,Visits 29 years apart,The revised experience is far better than just up see and out my first visit it was merely that a trip up see the views and down now it’s a full experience that takes you into the history the building and of course what you see in the views - highly recommended but be smart go early less lines less people,5.0,4.4448
83,Great experience,"We went at sunset on Sunday, December 18, so there was a huge crowd for a weekend, sunset, and the Christmas holiday. I even heard Staff telling one another that the building should’ve had extended hours leading up to Christmas because the crowds were so big. Still, they got us all through in anin a quick, organized, fashion, and my children and I had a wonderful experience. We bought the ticket for both the observatory and the 102nd floor, and I would say it’s worth the additional time and expense.",5.0,4.7418
84,Great experience,Before going to the top there's a great museum with the history and making of the Empire State Building - also some fun photo props. We avoided the long line by purchasing timed tickets. The timed tickets are just for entering - once you get in you can stay for as long as you want. Overall an excellent experience.,5.0,4.7914
85,Empire and Kong magic,"Visited 17th December 2022. Had the Christmas bug and this just added to it. Friendly staff magnificent views, clear day with sun helped. Apart from airport type security which is obviously necessary it was an easy visit. Did the stairs from the 80th floor you need to be fit or take an occasional break. Lifts were busy but managed well, a little waiting time. Experience was a dis well worth it. Thank you ESB staff",5.0,4.9124
86,Herded like cattle,"I visited 30 years ago and it was magical. Now, despite paying a small fortune we were herded like cattle, shouted at and directed through the building. Inside was over heated and they managed to also overheat outside through too many heat lamps. Should have been amazing but we couldn’t wait to leave.",1.0,3.862
87,Amazing,"Very well organised, minimal queues. Fantastic views. Easy to book tickets, we only booked a couple of days before and got what we wanted. Informative info on the Empire State Building.",5.0,4.6714
88,Absolute chaos,Don’t bother! Ridiculously unorganised queue system coupled with rude staff (and visitors who are constantly trying to push past you!) not much of an experience as you’re basically queueing the whole time. We didn’t even bother to go higher than the 80th floor as it was a shambles. Give Summit One a go instead.,1.0,1.2632
89,Visit while on holiday over Christmas,"Both myself and wife visited here while on holiday in NYC over Christmas, this was our first time visit to the Empire State Building and was simply blown away by it, the whole experience was fantastic the view outstanding and the history on display , this is the must see attraction while in NYC 10/10",5.0,4.8462
90,The legendary Empire State Building,"I had a 6 hour stopover at NYC, coming from Nashville heading towards Singapore.

Getting the express pass is a good idea as one will skip the long queues. The view is spectacular and the staff on duty were very helpful - plus had a great sense of humour. The experience will definitely be long remembered! As such, the site visit plus a sneak peek at Times Square was just right for me. Awesomeness!",5.0,4.895
91,DO NOT PREBOOK. Bad weather? No refunds!,"Prebooked tickets as we were travelling to NYC for a week long holiday from the UK, we had booked tickets for our second day at a cost of £85.40.

Prebooking was encouraged so you don't have to wait in line to buy one at the venue, but hidden in their T&Cs is the tiny text that there are no refunds due to bad weather. Well guess what? The weather was atrocious.

Wouldn't even let us re-arrange for another time. The entire time we were told ""don't bother going up guys it's just fog"" even though we'd already paid in full. What else was I meant to do?

Luckily we also had Top of the Rock Observatory booked a couple of days later (who coincidentally DO allow exchanges/refunds due to bad weather) and the view from there was much better than would be had from the Empire State Building.

Absolute scam. Do not waste your money - TOTR is better situated and more consumer friendly.",1.0,4.8442
92,Empire State Bldg experience,We thoroughly enjoyed the visit to the Empire State Building. Our tickets were for both the day and night tours. Both tours showed the City off to its best exposure.,5.0,4.6626
93,Express Line Skips the Museum,"Two major issues: First - the express tickets BYPASS THE MUSEUM !!!!! We didn't realize this until we followed signs to express - went up to 80th observatory and was told the museum is downstairs. When I was here several years ago it was displays along the wall on the 80th - but I guess they changed it. We tried to go back down but you have to go against people traffic and it was not possible. This should be fully explained on the ticket - but of course it is not.

Second issue is the ""optional upgrade to skip-the-line"" AND 102nd deck - okey dokey - so where exactly do you exercise this option ??? I thought I bought the deluxe ticket which included everything and it was skip the line but not 102nd floor. I still don't know how to add the 102nd floor - so be careful when buying your ticket - i'm sure it's there somewhere - i just didn't see i.t",2.0,4.5782
94,The Empire State Building VIP Tour,"We had a VIP tour with Renita Edmond, and she made our visit exceptional. From start to finish Renita gave us lots of interesting facts and information about the Empire State Building, and the queue jumping was a definite bonus.

Although it was cold we had a very clear day so the sites were all crystal clear, and the outside observation deck wasn’t too busy.

Thank you Renita, and see you soon.",5.0,4.9238
95,Nice but unorganized,The people at the venue were very unhelpful and did not know we purchased an express ticket although it said express on it. Also the queues at the venue are not well organized for such a busy attraction,2.0,3.5856
96,Fabulous views from the 102nd floor!,"The Empire State Building never disappoints! The views from the 86th floor are tremendous, but it's worth the time and money to go to the very top. Pick a sunny day and it is amazing.",5.0,4.8896
97,Newbies to New York,"I was not anticipating that there would be so much to see and do on the way to the observation deck. Great photo ops and interactive, educational things. It was sincerely amazing and fun! And all of the staff were engaging, fun and kind!",5.0,4.95
98,Esb in dec,Booked this before our trip as we had siteseeing passes very well organised and worth a visit - highly recommended 👌 can go outside or inside for the views depending on how brave you are feeling and lots of info on when and how it was built etc . Properly one of the more organised of rhe viewing platforms we visited.,5.0,4.7028
99,"Rude, Unprofessional, Lack of communication","Visited Wed 15th Dec 5pm. Arrived in New York that day and this visit was first on our list. Arrived at 5pm and the person at the front asked to see our ticket and then a showed us the door. When entering, the rude lady behind the counter shouted at us that we need to come off the li e to the red carpet just like everyone else and can’t we follow instructions. I allradhed the counter and explained we have an express ticket and the instructions are to head to the dead carpet. She said “oh” yes you do have an express ticket. Then passed us on to a colleague to scan our ticket and enter via the express lane. We followed the red carpet and up some stairs. A gentlemen was at the top who told us to get off the red carpet. I showed him my ticket and he said yes you need to get off and lifted the rope for us to join the regular queue. I said why is this when we’re told to follow the red carpet. He said you don’t have a ticket for that. I explained I do and showed him again. He said oh yes ok you can come back. This was embarrassing in front of everyone. We scanned our ticket again to get through the barrier and headed to security. We arrived and another couple was in front waiting behind a rope barrier. A rude unprofessional gentlemen came over and said this line is closed and to go join the regular queue. Ourselves and the couple said we’ve paid extra for this experience so joining the regular queue isn’t express. He wouldn’t listen. He said he can’t fast track us as we’ve not queued like everyone else. But we laid double the ticket price for this privilege. I walked back to the barrier we entered and the lady there was great. She walked over with me back to the security barrier and took care and got us through. This was after giving the gentlemen a stern talking to as clearly she was not impressed with her colleague either and gave him a lesson in handling customers who paid extra. After that is was plain sailing but what a very disappointing experience. It really made us feel we’d made a mistake coming to New York because everyone inside seemed so rude. Luckily we were wrong and it was just the Empire State Staff. Would certainly not recommend to go and choose one of the other tall buildings to go up who when we visited handled it perfectly.",1.0,4.8978
100,Empire state was amazing but tripadvisor service not great,"Attraction was amazing, but was misled by description of ticket. I thought the ticket included the optional upgrade to the 102nd floor but it doesn't. We had to pay an extra $38 each!! Very disappointed.

Also tried to change the date of our trip due to bad weather but had no response from Tripadvisor and was not able to get hold of anyone.",2.0,1.2032
101,"Expensive, but in the end it was good","A bit shocked at the initial price of admission, but the overall start to finish of the visit was very well done. I was very impressed with all the upgrades/additions to building to bring the attraction up to modern technology.",5.0,4.8014
102,AM/PM was an experience,"We had the luck of good weather. So we had the AM and PM experience. The folks that handle the queues could be a bit more friendly, but other than that, we had a great time. Luckily there was not such a big crowd that day.",5.0,4.8918
103,Best views,"I was amazed by the views from the 86th floor! This building has the perfect placement to see the architecture of the city and the geography of the surrounding area. You can really see how much the area is mostly wetlands.

The interactive exhibits on the lower levels were an unexpected bonus. I loved seeing the circuits that were used to operate the original elevators.",5.0,4.8804
104,So glad we did this!,"Very well run, all employees were very nice and handled the crowds well and friendly. The views are amazing. The VIP ticket is well worth the extra cost..to bypass the lines.",5.0,4.9382
105,The good old days,Visiting the Empire State is like a trip back in time. The view is extraordinary nice as it is much closer and down to earth than other platforms you can visit. The exhibition is very interesting and well done.,5.0,4.7286
106,Wonderful Views,The experience was great. It was just like I thought it would be. Majestic place to have the best view of the city. All personnel working there are kind.,5.0,4.8698
107,Too many people let in at the same time,"Really defeats the purpose of making a reservation for a time slot when the reality is there are no crowd control. It takes 20-30 minutes in line for each elevator to go up, and when you do go to each floor it’s crowded with visitors so you can’t really enjoy the views.",2.0,2.8456
108,Pricey but worth it for the sunset time frame.,"We loved the history, great views from both the 80th and 86th floor (we happened to get to take the stairs from the 80the to the 86th floor and we thought it was worth it to go to the 102nd floor and especially since we chose the sunset time slot.",5.0,4.744
109,WOW! The view !,"This was our first time to visit the Empire State Building. Our appt was at 4, and the process was quite smooth! It was crowded at that time but I guess we all just wanted to see the sunset because when we left the line had drastically reduced in size! Such a great experience seeing the lights from above!",5.0,4.6378
